iter	Passed	Remaining
0	20	16018
1	41	16677
2	61	16306
3	80	16020
4	99	15802
5	118	15713
6	139	15837
7	158	15674
8	177	15642
9	199	15742
10	219	15735
11	239	15744
12	260	15755
13	279	15703
14	300	15709
15	320	15690
16	339	15617
17	359	15630
18	380	15620
19	400	15628
20	421	15645
21	442	15637
22	463	15665
23	484	15680
24	506	15691
25	527	15689
26	547	15679
27	567	15643
28	587	15615
29	609	15646
30	630	15650
31	651	15647
32	672	15639
33	694	15646
34	716	15661
35	736	15640
36	760	15677
37	780	15659
38	800	15622
39	822	15625
40	845	15645
41	865	15626
42	886	15613
43	908	15617
44	930	15614
45	953	15623
46	976	15636
47	998	15643
48	1021	15650
49	1042	15634
50	1062	15604
51	1086	15629
52	1110	15650
53	1132	15649
54	1156	15664
55	1179	15664
56	1199	15632
57	1218	15590
58	1241	15591
59	1263	15587
60	1286	15583
61	1307	15559
62	1329	15548
63	1352	15550
64	1374	15541
65	1397	15540
66	1420	15535
67	1440	15510
68	1464	15515
69	1486	15501
70	1509	15494
71	1531	15489
72	1554	15485
73	1579	15491
74	1600	15475
75	1623	15464
76	1645	15446
77	1667	15432
78	1688	15414
79	1711	15406
80	1735	15407
81	1759	15404
82	1782	15397
83	1805	15393
84	1829	15388
85	1851	15372
86	1872	15342
87	1895	15334
88	1918	15329
89	1941	15320
90	1965	15315
91	1990	15321
92	2015	15319
93	2037	15301
94	2059	15282
95	2082	15272
96	2106	15268
97	2129	15252
98	2152	15242
99	2176	15232
100	2199	15221
101	2222	15205
102	2245	15198
103	2269	15185
104	2292	15171
105	2313	15145
106	2336	15134
107	2357	15106
108	2378	15079
109	2399	15049
110	2421	15031
111	2446	15025
112	2469	15011
113	2492	14999
114	2515	14981
115	2537	14963
116	2558	14933
117	2581	14919
118	2605	14910
119	2628	14896
120	2651	14879
121	2675	14871
122	2698	14853
123	2719	14826
124	2744	14821
125	2767	14804
126	2791	14793
127	2814	14778
128	2839	14767
129	2861	14745
130	2883	14725
131	2905	14701
132	2929	14689
133	2951	14669
134	2972	14643
135	2995	14624
136	3017	14603
137	3039	14580
138	3062	14564
139	3085	14544
140	3107	14521
141	3129	14502
142	3151	14480
143	3175	14463
144	3200	14456
145	3222	14436
146	3246	14420
147	3268	14397
148	3291	14382
149	3316	14369
150	3339	14353
151	3363	14337
152	3386	14318
153	3409	14301
154	3433	14286
155	3455	14266
156	3479	14249
157	3502	14229
158	3525	14211
159	3547	14190
160	3573	14181
161	3595	14159
162	3618	14139
163	3641	14122
164	3665	14104
165	3689	14089
166	3714	14078
167	3739	14066
168	3760	14040
169	3785	14028
170	3810	14017
171	3833	13997
172	3858	13983
173	3881	13964
174	3905	13948
175	3927	13925
176	3951	13909
177	3975	13891
178	4000	13877
179	4023	13858
180	4045	13834
181	4068	13815
182	4089	13789
183	4114	13773
184	4135	13748
185	4157	13725
186	4180	13704
187	4203	13683
188	4226	13664
189	4251	13650
190	4273	13627
191	4297	13608
192	4321	13590
193	4342	13566
194	4367	13550
195	4390	13530
196	4416	13518
197	4440	13500
198	4463	13480
199	4487	13461
200	4510	13443
201	4534	13422
202	4557	13403
203	4582	13387
204	4606	13370
205	4629	13348
206	4653	13331
207	4677	13311
208	4701	13295
209	4726	13279
210	4751	13263
211	4775	13246
212	4800	13229
213	4825	13214
214	4850	13197
215	4875	13180
216	4899	13162
217	4923	13144
218	4948	13128
219	4974	13114
220	4999	13097
221	5023	13078
222	5046	13057
223	5070	13038
224	5094	13018
225	5118	13000
226	5143	12982
227	5168	12965
228	5192	12946
229	5215	12926
230	5240	12907
231	5264	12888
232	5288	12870
233	5313	12851
234	5338	12834
235	5362	12815
236	5387	12798
237	5411	12777
238	5434	12756
239	5458	12735
240	5482	12717
241	5507	12698
242	5531	12679
243	5556	12660
244	5581	12643
245	5605	12623
246	5629	12603
247	5654	12584
248	5678	12564
249	5703	12546
250	5727	12526
251	5751	12507
252	5773	12482
253	5798	12463
254	5821	12442
255	5846	12422
256	5868	12399
257	5894	12382
258	5918	12363
259	5943	12344
260	5967	12324
261	5990	12301
262	6013	12277
263	6037	12258
264	6061	12236
265	6083	12213
266	6108	12193
267	6131	12170
268	6154	12149
269	6178	12127
270	6202	12107
271	6227	12088
272	6253	12071
273	6278	12052
274	6304	12035
275	6328	12015
276	6352	11994
277	6378	11977
278	6403	11957
279	6429	11939
280	6453	11918
281	6477	11898
282	6503	11880
283	6528	11862
284	6552	11841
285	6577	11821
286	6602	11802
287	6625	11779
288	6651	11760
289	6674	11738
290	6699	11717
291	6723	11696
292	6747	11674
293	6770	11653
294	6795	11633
295	6822	11616
296	6846	11595
297	6870	11574
298	6894	11552
299	6918	11530
300	6942	11509
301	6966	11488
302	6989	11464
303	7013	11443
304	7035	11419
305	7057	11394
306	7081	11371
307	7103	11347
308	7126	11324
309	7150	11301
310	7173	11278
311	7197	11257
312	7222	11237
313	7245	11214
314	7269	11192
315	7290	11167
316	7313	11143
317	7335	11118
318	7360	11097
319	7384	11076
320	7406	11051
321	7429	11029
322	7454	11009
323	7478	10986
324	7501	10963
325	7525	10942
326	7550	10921
327	7572	10897
328	7595	10873
329	7616	10847
330	7637	10821
331	7661	10800
332	7683	10775
333	7705	10751
334	7728	10727
335	7753	10707
336	7776	10684
337	7799	10661
338	7822	10637
339	7845	10614
340	7868	10591
341	7890	10567
342	7914	10545
343	7938	10523
344	7962	10501
345	7984	10476
346	8007	10454
347	8028	10428
348	8052	10405
349	8073	10380
350	8096	10356
351	8117	10331
352	8140	10308
353	8164	10285
354	8184	10259
355	8206	10235
356	8230	10212
357	8251	10187
358	8273	10163
359	8291	10134
360	8313	10109
361	8337	10087
362	8360	10064
363	8383	10041
364	8408	10020
365	8433	9999
366	8456	9977
367	8479	9953
368	8503	9932
369	8525	9908
370	8546	9883
371	8569	9859
372	8591	9835
373	8614	9811
374	8635	9786
375	8657	9762
376	8678	9737
377	8702	9715
378	8724	9690
379	8745	9666
380	8766	9640
381	8786	9614
382	8809	9591
383	8832	9568
384	8854	9544
385	8875	9519
386	8898	9496
387	8920	9472
388	8943	9449
389	8964	9424
390	8984	9398
391	9007	9375
392	9030	9352
393	9050	9326
394	9071	9300
395	9092	9276
396	9115	9253
397	9137	9229
398	9158	9204
399	9179	9179
400	9203	9157
401	9227	9135
402	9247	9110
403	9269	9086
404	9290	9061
405	9313	9038
406	9336	9015
407	9359	8992
408	9382	8969
409	9403	8944
410	9426	8922
411	9447	8897
412	9470	8874
413	9492	8850
414	9514	8826
415	9537	8803
416	9561	8782
417	9584	8758
418	9606	8735
419	9629	8712
420	9652	8689
421	9674	8666
422	9698	8643
423	9721	8620
424	9744	8598
425	9767	8575
426	9789	8551
427	9812	8528
428	9833	8504
429	9856	8481
430	9879	8458
431	9902	8435
432	9925	8412
433	9947	8389
434	9969	8365
435	9993	8342
436	10013	8318
437	10036	8294
438	10059	8272
439	10082	8249
440	10105	8226
441	10126	8201
442	10150	8179
443	10172	8156
444	10195	8133
445	10216	8109
446	10239	8086
447	10261	8062
448	10284	8040
449	10307	8016
450	10330	7994
451	10351	7969
452	10374	7946
453	10398	7924
454	10420	7901
455	10444	7879
456	10465	7854
457	10488	7832
458	10512	7810
459	10534	7786
460	10556	7763
461	10579	7739
462	10602	7716
463	10624	7693
464	10646	7670
465	10669	7647
466	10693	7624
467	10715	7601
468	10738	7578
469	10761	7556
470	10785	7533
471	10810	7512
472	10833	7489
473	10855	7465
474	10878	7443
475	10902	7420
476	10926	7398
477	10950	7376
478	10973	7353
479	10997	7331
480	11020	7308
481	11044	7286
482	11068	7264
483	11090	7241
484	11114	7218
485	11139	7196
486	11161	7173
487	11185	7151
488	11210	7129
489	11233	7106
490	11255	7083
491	11277	7060
492	11300	7037
493	11324	7014
494	11348	6992
495	11371	6969
496	11394	6946
497	11416	6923
498	11439	6900
499	11463	6877
500	11487	6855
501	11508	6831
502	11530	6808
503	11555	6786
504	11580	6764
505	11604	6742
506	11630	6721
507	11652	6697
508	11676	6675
509	11700	6653
510	11724	6630
511	11748	6608
512	11771	6585
513	11793	6562
514	11816	6539
515	11838	6515
516	11862	6493
517	11885	6470
518	11908	6447
519	11931	6424
520	11953	6401
521	11976	6378
522	12000	6355
523	12024	6333
524	12047	6310
525	12071	6288
526	12095	6265
527	12119	6243
528	12144	6221
529	12167	6198
530	12192	6176
531	12214	6153
532	12238	6130
533	12261	6107
534	12283	6084
535	12307	6061
536	12330	6039
537	12354	6016
538	12379	5994
539	12402	5971
540	12428	5949
541	12450	5926
542	12474	5903
543	12498	5881
544	12522	5859
545	12546	5836
546	12571	5814
547	12595	5791
548	12622	5770
549	12643	5747
550	12667	5724
551	12692	5702
552	12716	5679
553	12740	5657
554	12765	5635
555	12789	5612
556	12813	5590
557	12838	5568
558	12860	5544
559	12884	5521
560	12908	5499
561	12933	5476
562	12957	5454
563	12981	5432
564	13006	5409
565	13031	5387
566	13055	5365
567	13080	5342
568	13105	5320
569	13130	5298
570	13156	5276
571	13181	5254
572	13204	5231
573	13228	5208
574	13252	5185
575	13277	5163
576	13301	5140
577	13325	5118
578	13350	5095
579	13376	5073
580	13397	5050
581	13421	5027
582	13445	5004
583	13468	4981
584	13492	4958
585	13515	4935
586	13538	4912
587	13562	4889
588	13585	4866
589	13608	4843
590	13630	4820
591	13654	4797
592	13677	4774
593	13699	4751
594	13724	4728
595	13749	4706
596	13773	4683
597	13796	4660
598	13819	4637
599	13843	4614
600	13866	4591
601	13888	4567
602	13910	4544
603	13932	4521
604	13954	4497
605	13979	4475
606	14001	4451
607	14023	4428
608	14045	4405
609	14068	4381
610	14090	4358
611	14111	4335
612	14133	4311
613	14156	4288
614	14179	4265
615	14203	4242
616	14224	4218
617	14246	4195
618	14267	4171
619	14288	4148
620	14311	4125
621	14332	4101
622	14354	4078
623	14375	4054
624	14397	4031
625	14419	4008
626	14442	3984
627	14465	3961
628	14488	3938
629	14511	3915
630	14535	3893
631	14557	3869
632	14579	3846
633	14600	3822
634	14622	3799
635	14643	3776
636	14663	3752
637	14685	3728
638	14707	3705
639	14730	3682
640	14752	3659
641	14775	3636
642	14796	3612
643	14818	3589
644	14843	3567
645	14866	3544
646	14889	3520
647	14911	3497
648	14934	3474
649	14956	3451
650	14978	3428
651	14999	3404
652	15023	3382
653	15045	3358
654	15067	3335
655	15090	3312
656	15113	3289
657	15134	3266
658	15157	3243
659	15180	3220
660	15202	3196
661	15226	3174
662	15250	3151
663	15273	3128
664	15295	3105
665	15318	3082
666	15340	3058
667	15364	3036
668	15386	3012
669	15409	2989
670	15432	2966
671	15455	2943
672	15476	2920
673	15499	2897
674	15521	2874
675	15543	2851
676	15566	2828
677	15589	2805
678	15611	2782
679	15636	2759
680	15658	2736
681	15682	2713
682	15702	2689
683	15724	2666
684	15749	2644
685	15771	2620
686	15792	2597
687	15814	2574
688	15839	2551
689	15862	2528
690	15884	2505
691	15906	2482
692	15929	2459
693	15951	2436
694	15973	2413
695	15995	2390
696	16019	2367
697	16041	2344
698	16063	2321
699	16085	2297
700	16108	2274
701	16129	2251
702	16152	2228
703	16175	2205
704	16197	2182
705	16219	2159
706	16242	2136
707	16263	2113
708	16285	2090
709	16308	2067
710	16330	2044
711	16351	2021
712	16374	1997
713	16395	1974
714	16421	1952
715	16441	1928
716	16462	1905
717	16484	1882
718	16506	1859
719	16532	1836
720	16555	1813
721	16577	1790
722	16601	1768
723	16624	1745
724	16647	1722
725	16671	1699
726	16691	1676
727	16713	1652
728	16738	1630
729	16762	1607
730	16784	1584
731	16804	1561
732	16826	1538
733	16850	1515
734	16872	1492
735	16895	1469
736	16917	1446
737	16940	1423
738	16962	1400
739	16984	1377
740	17008	1354
741	17030	1331
742	17051	1308
743	17071	1284
744	17094	1262
745	17115	1238
746	17138	1215
747	17160	1193
748	17185	1170
749	17207	1147
750	17229	1124
751	17252	1101
752	17274	1078
753	17298	1055
754	17320	1032
755	17343	1009
756	17367	986
757	17389	963
758	17413	940
759	17435	917
760	17459	894
761	17482	871
762	17505	848
763	17528	825
764	17551	802
765	17574	780
766	17597	757
767	17622	734
768	17643	711
769	17667	688
770	17691	665
771	17713	642
772	17735	619
773	17758	596
774	17782	573
775	17804	550
776	17827	527
777	17850	504
778	17873	481
779	17896	458
780	17919	435
781	17942	412
782	17965	390
783	17989	367
784	18012	344
785	18036	321
786	18059	298
787	18082	275
788	18104	252
789	18126	229
790	18148	206
791	18169	183
792	18193	160
793	18215	137
794	18237	114
795	18258	91
796	18282	68
797	18304	45
798	18328	22
799	18351	0
